model,feature_set,parameter,value
rf,clinical,mtry,14
rf,clinical,min_n,40
rf,clinical_biomarkers,mtry,1
rf,clinical_biomarkers,min_n,11
svm_linear,clinical,cost,0.170625797008865
svm_linear,clinical_biomarkers,cost,0.170625797008865
svm_rbf,clinical,cost,32
svm_rbf,clinical,rbf_sigma,1e-05
svm_rbf,clinical_biomarkers,cost,0.0131390064883393
svm_rbf,clinical_biomarkers,rbf_sigma,0.00316227766016838
gbm,clinical,mtry,10
gbm,clinical,min_n,2
gbm,clinical,tree_depth,8
gbm,clinical,learn_rate,0.0177827941003892
gbm,clinical,loss_reduction,1e-10
gbm,clinical,sample_size,0.5
gbm,clinical_biomarkers,mtry,14
gbm,clinical_biomarkers,min_n,2
gbm,clinical_biomarkers,tree_depth,8
gbm,clinical_biomarkers,learn_rate,0.0177827941003892
gbm,clinical_biomarkers,loss_reduction,1e-10
gbm,clinical_biomarkers,sample_size,0.5
